순위 곡명 가수 앨범 좋아요
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,71861
2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집,70948
3,POP!,나연 (TWICE),IM NAYEON,61012
4,LOVE DIVE,IVE (아이브),LOVE DIVE,166843
5,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,111050
6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,153813
7,TOMBOY,(여자)아이들,I NEVER DIE,200929
8,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,168636
9,우리들의 블루스,임영웅,IM HERO,70482
10,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),145539
11,나의 X에게,경서,나의 X에게,98170
12,Girls,aespa,Girls - The 2nd Mini Album,37700
13,다시 만날 수 있을까,임영웅,IM HERO,55809
14,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집,20285
15,그라데이션,10CM,5.3,42446
16,무지개,임영웅,IM HERO,44647
17,LOVE me,BE'O (비오),LOVE me,99370
18,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),278599
19,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,156716
20,아버지,임영웅,IM HERO,39862
21,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,58313
22,손이 참 곱던 그대,임영웅,IM HERO,38084
23,Love story,볼빨간사춘기,Seoul,62985
24,A bientot,임영웅,IM HERO,38648
25,내가 아니라도,주호,내가 아니라도,48826
26,사랑해 진짜,임영웅,IM HERO,38566
27,_WORLD,세븐틴,SEVENTEEN 4th Album Repackage ‘SECTOR 17',42900
28,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun',76299
29,Yet To Come,방탄소년단,Proof,109857
30,인생찬가,임영웅,IM HERO,38102
31,취중고백,김민석 (멜로망스),취중고백,136386
32,연애편지,임영웅,IM HERO,37415
33,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),71753
34,사랑역,임영웅,IM HERO,37010
35,보금자리,임영웅,IM HERO,36691
36,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),20008
37,사랑해요 그대를,임영웅,IM HERO,36798
38,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,135340
39,신호등,이무진,신호등,286210
40,ELEVEN,IVE (아이브),ELEVEN,141146
41,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,37613
42,Dynamite,방탄소년단,Dynamite (DayTime Version),439610
43,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),12075
44,아무래도 난,주시크 (Joosiq),아무래도 난,64888
45,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),142836
46,I LOVE U,WINNER,HOLIDAY,32122
47,SNEAKERS,ITZY (있지),CHECKMATE,18726
48,Butter,방탄소년단,Butter,276369
49,MY BAG,(여자)아이들,I NEVER DIE,68631
50,GANADARA (Feat. 아이유),박재범,GANADARA,119720
